date,open,high,low,close,volume,barCount,wap
2026-03-13 13:30:00+00:00,6673.49,6713.46,6673.49,6707.44,0,296,0.0
2026-03-13 13:35:00+00:00,6707.13,6716.12,6700.31,6712.91,0,299,0.0
2026-03-13 13:40:00+00:00,6713.54,6729.72,6711.59,6729.6,0,292,0.0
2026-03-13 13:45:00+00:00,6729.84,6733.3,6722.78,6722.78,0,297,0.0
2026-03-13 13:50:00+00:00,6722.45,6728.11,6717.99,6726.55,0,291,0.0
2026-03-13 13:55:00+00:00,6727.07,6727.07,6714.71,6715.58,0,295,0.0
2026-03-13 14:00:00+00:00,6715.81,6722.13,6707.85,6711.18,0,295,0.0
2026-03-13 14:05:00+00:00,6711.24,6715.06,6702.13,6703.05,0,297,0.0
2026-03-13 14:10:00+00:00,6703.17,6704.32,6698.61,6700.11,0,293,0.0
2026-03-13 14:15:00+00:00,6699.71,6700.21,6687.8,6691.41,0,296,0.0
2026-03-13 14:20:00+00:00,6691.52,6699.87,6691.42,6696.53,0,296,0.0
2026-03-13 14:25:00+00:00,6696.44,6701.73,6693.05,6699.02,0,295,0.0
2026-03-13 14:30:00+00:00,6699.0,6711.73,6697.74,6705.23,0,298,0.0
2026-03-13 14:35:00+00:00,6705.12,6705.12,6695.05,6699.59,0,293,0.0
2026-03-13 14:40:00+00:00,6699.54,6699.54,6683.11,6683.29,0,291,0.0
2026-03-13 14:45:00+00:00,6683.23,6683.23,6672.88,6679.63,0,295,0.0
2026-03-13 14:50:00+00:00,6679.81,6684.56,6674.67,6675.8,0,293,0.0
2026-03-13 14:55:00+00:00,6675.74,6677.57,6660.91,6661.88,0,295,0.0
2026-03-13 15:00:00+00:00,6662.54,6665.86,6655.68,6660.35,0,294,0.0
2026-03-13 15:05:00+00:00,6660.39,6670.96,6659.6,6670.75,0,295,0.0
2026-03-13 15:10:00+00:00,6670.98,6678.48,6667.63,6677.82,0,296,0.0
2026-03-13 15:15:00+00:00,6677.87,6678.24,6668.54,6668.54,0,294,0.0
2026-03-13 15:20:00+00:00,6668.45,6672.76,6658.56,6658.8,0,296,0.0
2026-03-13 15:25:00+00:00,6658.58,6658.58,6654.97,6655.39,0,292,0.0
2026-03-13 15:30:00+00:00,6655.45,6662.25,6654.05,6660.8,0,287,0.0
2026-03-13 15:35:00+00:00,6660.85,6662.36,6650.08,6656.98,0,295,0.0
2026-03-13 15:40:00+00:00,6656.65,6657.27,6643.18,6646.35,0,289,0.0
2026-03-13 15:45:00+00:00,6646.31,6659.89,6642.72,6652.76,0,293,0.0
2026-03-13 15:50:00+00:00,6652.73,6653.48,6643.72,6648.47,0,291,0.0
2026-03-13 15:55:00+00:00,6648.23,6648.78,6641.52,6644.21,0,290,0.0
2026-03-13 16:00:00+00:00,6644.12,6651.71,6644.06,6649.45,0,295,0.0
2026-03-13 16:05:00+00:00,6649.29,6655.68,6646.71,6654.11,0,289,0.0
2026-03-13 16:10:00+00:00,6654.25,6658.75,6644.83,6649.7,0,296,0.0
2026-03-13 16:15:00+00:00,6649.81,6651.62,6645.17,6647.64,0,293,0.0
2026-03-13 16:20:00+00:00,6647.8,6655.29,6646.85,6650.59,0,295,0.0
2026-03-13 16:25:00+00:00,6650.95,6654.3,6646.01,6653.11,0,291,0.0
2026-03-13 16:30:00+00:00,6653.08,6657.58,6650.45,6650.98,0,293,0.0
2026-03-13 16:35:00+00:00,6650.87,6661.46,6650.87,6654.37,0,295,0.0
2026-03-13 16:40:00+00:00,6654.31,6657.09,6647.53,6647.62,0,286,0.0
2026-03-13 16:45:00+00:00,6647.6,6649.93,6642.22,6649.93,0,290,0.0
2026-03-13 16:50:00+00:00,6649.87,6658.59,6649.36,6657.6,0,293,0.0
2026-03-13 16:55:00+00:00,6657.72,6658.7,6641.66,6643.31,0,288,0.0
2026-03-13 17:00:00+00:00,6643.13,6646.36,6643.13,6644.53,0,292,0.0
2026-03-13 17:05:00+00:00,6644.64,6650.43,6641.89,6649.35,0,294,0.0
2026-03-13 17:10:00+00:00,6649.37,6656.2,6644.12,6656.2,0,287,0.0
2026-03-13 17:15:00+00:00,6656.62,6660.27,6652.37,6657.41,0,290,0.0
2026-03-13 17:20:00+00:00,6657.37,6657.64,6648.22,6654.14,0,294,0.0
2026-03-13 17:25:00+00:00,6654.21,6655.6,6649.17,6653.68,0,296,0.0
2026-03-13 17:30:00+00:00,6653.7,6654.74,6648.03,6650.06,0,289,0.0
2026-03-13 17:35:00+00:00,6650.02,6652.03,6647.9,6651.35,0,289,0.0
2026-03-13 17:40:00+00:00,6651.23,6651.87,6645.16,6649.47,0,289,0.0
2026-03-13 17:45:00+00:00,6649.44,6650.76,6634.86,6635.24,0,294,0.0
2026-03-13 17:50:00+00:00,6635.22,6637.71,6631.35,6636.25,0,291,0.0
2026-03-13 17:55:00+00:00,6636.16,6639.52,6634.0,6636.1,0,288,0.0
2026-03-13 18:00:00+00:00,6636.07,6642.35,6635.88,6641.32,0,290,0.0
2026-03-13 18:05:00+00:00,6641.38,6642.34,6638.14,6640.93,0,285,0.0
2026-03-13 18:10:00+00:00,6640.87,6644.47,6640.71,6643.14,0,292,0.0
2026-03-13 18:15:00+00:00,6643.4,6646.52,6638.52,6639.36,0,286,0.0
2026-03-13 18:20:00+00:00,6639.43,6640.35,6635.35,6636.65,0,291,0.0
2026-03-13 18:25:00+00:00,6636.64,6643.27,6636.57,6643.27,0,295,0.0
2026-03-13 18:30:00+00:00,6643.15,6651.56,6641.29,6649.88,0,293,0.0
2026-03-13 18:35:00+00:00,6649.85,6653.54,6649.01,6651.22,0,292,0.0
2026-03-13 18:40:00+00:00,6651.27,6654.99,6650.09,6654.66,0,289,0.0
2026-03-13 18:45:00+00:00,6654.46,6656.14,6652.64,6655.8,0,289,0.0
2026-03-13 18:50:00+00:00,6655.74,6657.36,6652.13,6655.27,0,289,0.0
2026-03-13 18:55:00+00:00,6655.18,6655.18,6650.11,6652.13,0,289,0.0
2026-03-13 19:00:00+00:00,6652.14,6652.14,6646.44,6646.52,0,283,0.0
2026-03-13 19:05:00+00:00,6646.28,6647.94,6642.66,6647.24,0,289,0.0
2026-03-13 19:10:00+00:00,6647.04,6649.42,6644.61,6645.23,0,287,0.0
2026-03-13 19:15:00+00:00,6645.3,6648.72,6644.41,6646.11,0,291,0.0
2026-03-13 19:20:00+00:00,6646.05,6646.05,6635.42,6637.58,0,288,0.0
2026-03-13 19:25:00+00:00,6637.43,6637.47,6631.7,6633.59,0,294,0.0
2026-03-13 19:30:00+00:00,6633.67,6639.61,6633.67,6634.98,0,288,0.0
2026-03-13 19:35:00+00:00,6634.86,6635.42,6627.73,6627.97,0,287,0.0
2026-03-13 19:40:00+00:00,6627.92,6628.87,6623.92,6626.57,0,295,0.0
2026-03-13 19:45:00+00:00,6626.7,6629.09,6624.15,6628.8,0,290,0.0
2026-03-13 19:50:00+00:00,6628.68,6631.72,6625.55,6630.15,0,293,0.0
2026-03-13 19:55:00+00:00,6630.16,6634.32,6628.51,6631.88,0,288,0.0
2026-03-16 13:30:00+00:00,6674.37,6696.47,6674.37,6694.86,0,297,0.0
2026-03-16 13:35:00+00:00,6695.08,6699.69,6694.28,6698.19,0,297,0.0
2026-03-16 13:40:00+00:00,6698.15,6706.0,6696.08,6705.54,0,294,0.0
2026-03-16 13:45:00+00:00,6705.52,6716.19,6704.89,6709.37,0,294,0.0
2026-03-16 13:50:00+00:00,6709.53,6709.66,6705.12,6707.87,0,286,0.0
2026-03-16 13:55:00+00:00,6707.67,6718.01,6704.94,6717.51,0,292,0.0
2026-03-16 14:00:00+00:00,6717.52,6717.99,6710.07,6711.6,0,293,0.0
2026-03-16 14:05:00+00:00,6712.4,6719.51,6710.31,6717.17,0,293,0.0
2026-03-16 14:10:00+00:00,6717.5,6722.87,6714.36,6716.75,0,292,0.0
2026-03-16 14:15:00+00:00,6716.47,6721.16,6714.08,6715.75,0,293,0.0
2026-03-16 14:20:00+00:00,6715.7,6722.26,6715.36,6719.38,0,295,0.0
2026-03-16 14:25:00+00:00,6719.47,6720.26,6713.14,6713.14,0,290,0.0
2026-03-16 14:30:00+00:00,6712.96,6713.06,6699.4,6699.85,0,294,0.0
2026-03-16 14:35:00+00:00,6700.08,6705.76,6693.7,6694.69,0,295,0.0
2026-03-16 14:40:00+00:00,6694.07,6696.88,6690.88,6691.47,0,293,0.0
2026-03-16 14:45:00+00:00,6691.41,6695.56,6687.9,6690.29,0,293,0.0
2026-03-16 14:50:00+00:00,6690.25,6701.11,6685.56,6700.86,0,291,0.0
2026-03-16 14:55:00+00:00,6700.82,6707.48,6698.85,6707.48,0,289,0.0
2026-03-16 15:00:00+00:00,6707.61,6707.84,6699.33,6700.28,0,297,0.0
2026-03-16 15:05:00+00:00,6700.14,6702.05,6696.01,6702.05,0,290,0.0
2026-03-16 15:10:00+00:00,6702.2,6704.55,6696.59,6703.86,0,290,0.0
2026-03-16 15:15:00+00:00,6703.82,6705.7,6698.78,6705.46,0,292,0.0
2026-03-16 15:20:00+00:00,6705.68,6712.47,6704.58,6711.42,0,288,0.0
2026-03-16 15:25:00+00:00,6711.45,6712.25,6707.4,6709.98,0,291,0.0
2026-03-16 15:30:00+00:00,6710.03,6715.31,6710.03,6713.66,0,280,0.0
2026-03-16 15:35:00+00:00,6714.13,6715.43,6711.4,6712.23,0,283,0.0
2026-03-16 15:40:00+00:00,6711.87,6711.87,6707.86,6708.92,0,290,0.0
2026-03-16 15:45:00+00:00,6708.7,6712.05,6708.01,6710.89,0,277,0.0
2026-03-16 15:50:00+00:00,6710.85,6710.85,6700.9,6703.74,0,292,0.0
2026-03-16 15:55:00+00:00,6703.77,6705.3,6694.8,6694.8,0,293,0.0
2026-03-16 16:00:00+00:00,6694.73,6697.94,6692.41,6692.41,0,284,0.0
2026-03-16 16:05:00+00:00,6692.37,6700.24,6691.96,6696.73,0,290,0.0
2026-03-16 16:10:00+00:00,6696.77,6700.69,6695.25,6698.04,0,290,0.0
2026-03-16 16:15:00+00:00,6697.96,6699.64,6694.27,6696.63,0,287,0.0
2026-03-16 16:20:00+00:00,6696.45,6696.45,6683.89,6684.14,0,294,0.0
2026-03-16 16:25:00+00:00,6684.02,6686.68,6681.55,6683.94,0,291,0.0
2026-03-16 16:30:00+00:00,6683.96,6688.07,6681.49,6684.87,0,292,0.0
2026-03-16 16:35:00+00:00,6684.8,6690.84,6684.75,6690.84,0,292,0.0
2026-03-16 16:40:00+00:00,6691.03,6697.92,6689.07,6695.9,0,291,0.0
2026-03-16 16:45:00+00:00,6695.91,6696.59,6692.67,6695.06,0,292,0.0
2026-03-16 16:50:00+00:00,6694.92,6699.38,6693.73,6695.2,0,290,0.0
2026-03-16 16:55:00+00:00,6695.18,6696.95,6692.72,6693.43,0,282,0.0
2026-03-16 17:00:00+00:00,6693.53,6703.71,6693.53,6696.47,0,294,0.0
2026-03-16 17:05:00+00:00,6696.58,6700.76,6695.62,6698.67,0,288,0.0
2026-03-16 17:10:00+00:00,6698.69,6705.28,6698.69,6703.48,0,290,0.0
2026-03-16 17:15:00+00:00,6703.36,6703.65,6698.96,6702.21,0,290,0.0
2026-03-16 17:20:00+00:00,6702.12,6706.22,6702.04,6704.37,0,288,0.0
2026-03-16 17:25:00+00:00,6704.4,6706.23,6701.08,6701.7,0,290,0.0
2026-03-16 17:30:00+00:00,6701.64,6704.66,6698.86,6700.3,0,285,0.0
2026-03-16 17:35:00+00:00,6700.31,6702.32,6698.67,6699.16,0,287,0.0
2026-03-16 17:40:00+00:00,6699.09,6699.98,6695.98,6696.36,0,285,0.0
2026-03-16 17:45:00+00:00,6696.33,6701.33,6692.07,6693.49,0,285,0.0
2026-03-16 17:50:00+00:00,6693.47,6697.36,6689.54,6695.58,0,291,0.0
2026-03-16 17:55:00+00:00,6695.64,6698.82,6694.44,6696.96,0,285,0.0
2026-03-16 18:00:00+00:00,6696.92,6700.74,6696.3,6700.74,0,285,0.0
2026-03-16 18:05:00+00:00,6700.77,6706.53,6699.88,6704.55,0,288,0.0
2026-03-16 18:10:00+00:00,6704.62,6706.25,6702.15,6704.08,0,288,0.0
2026-03-16 18:15:00+00:00,6704.26,6709.43,6704.17,6707.59,0,288,0.0
2026-03-16 18:20:00+00:00,6707.66,6709.86,6706.23,6708.77,0,283,0.0
2026-03-16 18:25:00+00:00,6708.85,6709.65,6705.57,6707.27,0,285,0.0
2026-03-16 18:30:00+00:00,6707.59,6709.09,6706.25,6708.29,0,286,0.0
2026-03-16 18:35:00+00:00,6708.39,6710.62,6706.76,6709.65,0,287,0.0
2026-03-16 18:40:00+00:00,6709.91,6711.66,6708.75,6711.59,0,285,0.0
2026-03-16 18:45:00+00:00,6711.54,6712.48,6710.17,6710.82,0,283,0.0
2026-03-16 18:50:00+00:00,6710.76,6710.76,6707.0,6707.0,0,287,0.0
2026-03-16 18:55:00+00:00,6707.07,6707.07,6704.82,6705.66,0,277,0.0
2026-03-16 19:00:00+00:00,6705.67,6709.1,6703.52,6704.77,0,283,0.0
2026-03-16 19:05:00+00:00,6704.75,6722.81,6702.22,6722.81,0,287,0.0
2026-03-16 19:10:00+00:00,6722.3,6729.79,6705.99,6708.24,0,299,0.0
2026-03-16 19:15:00+00:00,6707.86,6712.4,6703.93,6703.97,0,298,0.0
2026-03-16 19:20:00+00:00,6703.93,6706.21,6699.12,6701.15,0,296,0.0
2026-03-16 19:25:00+00:00,6701.32,6703.7,6696.28,6700.97,0,296,0.0
2026-03-16 19:30:00+00:00,6701.36,6702.78,6698.48,6699.93,0,296,0.0
2026-03-16 19:35:00+00:00,6699.72,6702.73,6697.65,6699.17,0,289,0.0
