date,open,high,low,close,volume,barCount,wap
2021-03-25 00:00:00+00:00,3879.34,3919.54,3853.5,3909.52,0,22119,0.0
2021-03-26 00:00:00+00:00,3917.12,3978.19,3917.12,3974.54,0,21824,0.0
2021-03-29 00:00:00+00:00,3969.31,3981.83,3943.25,3971.09,0,21692,0.0
2021-03-30 00:00:00+00:00,3963.34,3968.01,3944.35,3958.55,0,21341,0.0
2021-03-31 00:00:00+00:00,3967.25,3994.41,3966.98,3972.89,0,21132,0.0
2021-04-01 00:00:00+00:00,3992.78,4020.63,3992.78,4019.87,0,20850,0.0
2021-04-05 00:00:00+00:00,4034.44,4083.42,4034.44,4077.91,0,21046,0.0
2021-04-06 00:00:00+00:00,4075.57,4086.23,4068.14,4073.94,0,21006,0.0
2021-04-07 00:00:00+00:00,4074.29,4083.13,4068.31,4079.95,0,20909,0.0
2021-04-08 00:00:00+00:00,4089.95,4098.19,4082.54,4097.17,0,20491,0.0
2021-04-09 00:00:00+00:00,4096.11,4129.48,4095.51,4128.8,0,20555,0.0
2021-04-12 00:00:00+00:00,4124.71,4131.76,4114.82,4127.99,0,20903,0.0
2021-04-13 00:00:00+00:00,4130.1,4148.0,4124.43,4141.59,0,20723,0.0
2021-04-14 00:00:00+00:00,4141.58,4151.69,4120.87,4124.66,0,21250,0.0
2021-04-15 00:00:00+00:00,4139.76,4173.49,4139.76,4170.42,0,21021,0.0
2021-04-16 00:00:00+00:00,4174.14,4191.31,4170.75,4185.47,0,20571,0.0
2021-04-19 00:00:00+00:00,4179.8,4180.81,4150.47,4163.26,0,21345,0.0
2021-04-20 00:00:00+00:00,4159.18,4159.18,4118.38,4134.94,0,21426,0.0
2021-04-21 00:00:00+00:00,4128.42,4175.02,4126.35,4173.42,0,20806,0.0
2021-04-22 00:00:00+00:00,4170.46,4179.57,4123.69,4134.98,0,21436,0.0
2021-04-23 00:00:00+00:00,4138.78,4194.17,4138.78,4180.17,0,20637,0.0
2021-04-26 00:00:00+00:00,4185.03,4194.19,4182.36,4187.62,0,20547,0.0
2021-04-27 00:00:00+00:00,4188.25,4193.35,4176.22,4186.72,0,20614,0.0
2021-04-28 00:00:00+00:00,4185.14,4201.53,4181.78,4183.18,0,21139,0.0
2021-04-29 00:00:00+00:00,4206.14,4218.78,4176.81,4211.47,0,21485,0.0
2021-04-30 00:00:00+00:00,4198.1,4198.1,4174.85,4181.17,0,21372,0.0
2021-05-03 00:00:00+00:00,4191.98,4209.39,4188.03,4192.66,0,21134,0.0
2021-05-04 00:00:00+00:00,4179.04,4179.04,4128.59,4164.66,0,21670,0.0
2021-05-05 00:00:00+00:00,4177.06,4187.72,4160.94,4167.59,0,21108,0.0
2021-05-06 00:00:00+00:00,4169.14,4202.7,4147.33,4201.62,0,21388,0.0
2021-05-07 00:00:00+00:00,4210.34,4238.04,4201.64,4232.6,0,21064,0.0
2021-05-10 00:00:00+00:00,4228.29,4236.39,4188.13,4188.43,0,21409,0.0
2021-05-11 00:00:00+00:00,4150.34,4162.04,4111.53,4152.1,0,21912,0.0
2021-05-12 00:00:00+00:00,4130.55,4134.73,4056.88,4063.04,0,22002,0.0
2021-05-13 00:00:00+00:00,4074.99,4131.58,4074.99,4112.5,0,22012,0.0
2021-05-14 00:00:00+00:00,4129.58,4183.13,4129.58,4173.85,0,20767,0.0
2021-05-17 00:00:00+00:00,4169.92,4171.92,4142.69,4163.29,0,21412,0.0
2021-05-18 00:00:00+00:00,4165.94,4169.15,4125.99,4127.83,0,20938,0.0
2021-05-19 00:00:00+00:00,4098.45,4116.93,4061.41,4115.68,0,21941,0.0
2021-05-20 00:00:00+00:00,4121.97,4172.8,4121.97,4159.12,0,20984,0.0
2021-05-21 00:00:00+00:00,4168.61,4188.72,4151.72,4155.86,0,20898,0.0
